id,sex,ageM,trialOrd,frm,idtrialOrd,trialNum,pointLR,conf,faceAngRaw,faceAngMod,gazeAngRaw,gazeAngMod,pointLRConf
1,m,18,3,1,1_3,31,L,0.77,-0.096,-0.136760286,-0.091,-0.111450637,4.5
1,m,18,3,2,1_3,31,L,0.77,-0.108,-0.14826891,-0.095,-0.115332352,4.5
1,m,18,3,3,1_3,31,L,0.82,-0.141,-0.18018294,-0.118,-0.138424084,4.5
1,m,18,3,4,1_3,31,L,0.88,-0.167,-0.205686209,-0.143,-0.163612504,4.5
1,m,18,3,5,1_3,31,L,0.88,-0.159,-0.1972377,-0.141,-0.161445019,4.5
1,m,18,3,6,1_3,31,L,0.88,-0.16,-0.197933427,-0.141,-0.161211133,4.5
1,m,18,3,7,1_3,31,L,0.88,-0.161,-0.198963348,-0.141,-0.161262728,4.5
1,m,18,3,8,1_3,31,L,0.88,-0.162,-0.199901612,-0.142,-0.162194171,4.5
1,m,18,3,9,1_3,31,L,0.88,-0.162,-0.199789532,-0.142,-0.162063027,4.5
1,m,18,3,10,1_3,31,L,0.88,-0.163,-0.200792416,-0.143,-0.163064559,4.5
1,m,18,3,11,1_3,31,L,0.88,-0.163,-0.201117967,-0.142,-0.162380955,4.5
1,m,18,3,12,1_3,31,L,0.88,-0.163,-0.201197707,-0.143,-0.163494627,4.5
1,m,18,3,13,1_3,31,L,0.88,-0.174,-0.212845703,-0.151,-0.172125719,4.5
1,m,18,3,14,1_3,31,L,0.88,-0.173,-0.211883396,-0.15,-0.171181037,4.5
1,m,18,3,15,1_3,31,L,0.88,-0.183,-0.222516963,-0.157,-0.178804468,4.5
1,m,18,3,16,1_3,31,L,0.88,-0.185,-0.224654914,-0.159,-0.180983067,4.5
1,m,18,3,17,1_3,31,L,0.88,-0.189,-0.228916483,-0.161,-0.183230095,4.5
1,m,18,3,18,1_3,31,L,0.88,-0.183,-0.223001737,-0.157,-0.179311395,4.5
1,m,18,3,19,1_3,31,L,0.88,-0.183,-0.222995644,-0.156,-0.178307994,4.5
1,m,18,3,20,1_3,31,L,0.88,-0.18,-0.220001694,-0.154,-0.176345028,4.5
1,m,18,3,21,1_3,31,L,0.88,-0.178,-0.217931867,-0.152,-0.174305994,4.5
1,m,18,3,22,1_3,31,L,0.88,-0.174,-0.213843659,-0.15,-0.172189508,4.5
1,m,18,3,23,1_3,31,L,0.88,-0.175,-0.214717885,-0.15,-0.171983936,4.5
1,m,18,3,24,1_3,31,L,0.88,-0.164,-0.203045891,-0.142,-0.16330443,4.5
1,m,18,3,25,1_3,31,L,0.88,-0.141,-0.178372441,-0.123,-0.142589783,4.5
1,m,18,3,26,1_3,31,L,0.88,-0.153,-0.190109296,-0.129,-0.148231791,4.5
1,m,18,3,27,1_3,31,L,0.88,-0.13,-0.165605609,-0.11,-0.127631031,4.5
1,m,18,3,28,1_3,31,L,0.88,-0.109,-0.142898374,-0.094,-0.109842462,4.5
1,m,18,3,29,1_3,31,L,0.88,-0.082,-0.114263794,-0.074,-0.088207866,4.5
1,m,18,3,30,1_3,31,L,0.88,-0.071,-0.10231188,-0.067,-0.08022138,4.5
1,m,18,3,31,1_3,31,L,0.88,-0.074,-0.105441175,-0.069,-0.08232111,4.5
1,m,18,3,32,1_3,31,L,0.88,-0.077,-0.108258408,-0.071,-0.084108429,4.5
1,m,18,3,33,1_3,31,L,0.88,-0.082,-0.113068173,-0.075,-0.087937897,4.5
1,m,18,3,34,1_3,31,L,0.88,-0.085,-0.115924167,-0.079,-0.09178669,4.5
1,m,18,3,35,1_3,31,L,0.88,-0.085,-0.115278325,-0.079,-0.091153095,4.5
1,m,18,3,36,1_3,31,L,0.88,-0.069,-0.098096678,-0.067,-0.07797764,4.5
1,m,18,3,37,1_3,31,L,0.88,-0.053,-0.080705737,-0.056,-0.065577231,4.5
1,m,18,3,38,1_3,31,L,0.88,-0.053,-0.080814166,-0.056,-0.065665886,4.5
1,m,18,3,39,1_3,31,L,0.88,-0.035,-0.061128663,-0.043,-0.051010458,4.5
1,m,18,3,40,1_3,31,L,0.88,-0.017,-0.04134425,-0.03,-0.036217924,4.5
1,m,18,3,41,1_3,31,L,0.88,-0.002,-0.024989905,-0.019,-0.023823139,4.5
1,m,18,3,42,1_3,31,L,0.88,0.015,-0.006408985,-0.006,-0.009255672,4.5
1,m,18,3,43,1_3,31,L,0.88,0.014,-0.007339175,-0.007,-0.01017873,4.5
1,m,18,3,44,1_3,31,L,0.88,0.034,0.013910184,0.007,0.005072578,4.5
1,m,18,3,45,1_3,31,L,0.88,0.05,0.030986168,0.019,0.018092312,4.5
1,m,18,3,46,1_3,31,L,0.88,0.054,0.035598303,0.023,0.022715965,4.5
1,m,18,3,47,1_3,31,L,0.88,0.059,0.040968619,0.026,0.026106218,4.5
1,m,18,3,48,1_3,31,L,0.88,0.063,0.045099631,0.028,0.028262813,4.5
1,m,18,3,49,1_3,31,L,0.88,0.068,0.050254639,0.032,0.032419292,4.5
1,m,18,3,50,1_3,31,L,0.88,0.067,0.049251863,0.032,0.032419357,4.5
1,m,18,3,51,1_3,31,L,0.88,0.071,0.053356302,0.034,0.03449686,4.5
1,m,18,3,52,1_3,31,L,0.88,0.075,0.057331461,0.037,0.037497559,4.5
1,m,18,3,53,1_3,31,L,0.88,0.08,0.062408296,0.041,0.041575839,4.5
1,m,18,3,54,1_3,31,L,0.88,0.083,0.065296843,0.044,0.044498535,4.5
1,m,18,3,55,1_3,31,L,0.88,0.08,0.06240279,0.042,0.04257602,4.5
1,m,18,3,56,1_3,31,L,0.88,0.082,0.06428512,0.044,0.044418571,4.5
1,m,18,3,57,1_3,31,L,0.88,0.086,0.068307223,0.047,0.047418049,4.5
1,m,18,3,58,1_3,31,L,0.88,0.083,0.065013568,0.046,0.046105953,4.5
1,m,18,3,59,1_3,31,L,0.88,0.084,0.06578131,0.047,0.046872209,4.5
1,m,18,3,60,1_3,31,L,0.88,0.08,0.061319055,0.045,0.044329802,4.5
1,m,18,4,1,1_4,71,L,0.88,-0.07,-0.107278264,-0.068,-0.088103893,3.5
1,m,18,4,2,1_4,71,L,0.88,-0.119,-0.153209907,-0.104,-0.12141448,3.5
1,m,18,4,3,1_4,71,L,0.88,-0.183,-0.216639904,-0.157,-0.17365709,3.5
1,m,18,4,4,1_4,71,L,0.88,-0.16,-0.191393538,-0.143,-0.157238094,3.5
1,m,18,4,5,1_4,71,L,0.88,-0.126,-0.153851858,-0.115,-0.125461125,3.5
1,m,18,4,6,1_4,71,L,0.88,-0.055,-0.078657025,-0.061,-0.0672102,3.5
1,m,18,4,7,1_4,71,L,0.88,0.003,-0.015960441,-0.016,-0.017478707,3.5
1,m,18,4,8,1_4,71,L,0.88,0.005,-0.013763906,-0.013,-0.014184145,3.5
